                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4336,                 2.2792,                 1.1531,                0.61978,                0.73368,                0.78806,                0.43383,                 1.5925,                 1.4375,                 1.2445,               0.070037,              0.0033292,              0.0033292
                      2,                 1.3562,                 1.1216,                  1.136,                0.90094,                0.91148,                0.97172,                0.72088,                0.94264,                0.69398,                0.98898,               0.039707,              0.0063328,              0.0063328
                      3,                 1.3384,                0.92795,                  1.129,                0.92719,                0.94073,                0.97881,                0.66713,                 1.1919,                0.63701,                 1.0679,              0.0090472,              0.0090063,              0.0090063
                      4,                 1.3108,                0.80656,                 1.1125,                0.97944,                0.98867,                0.99385,                0.69328,                 1.1585,                0.51928,                 1.0332,               0.008515,               0.008515,               0.008515
                      5,                 1.2948,                0.73862,                 1.1036,                0.98778,                0.99605,                0.99453,                0.71196,                 1.1091,                0.45261,                 1.0331,               0.008515,               0.008515,               0.008515
                      6,                 1.2806,                0.69337,                 1.0968,                0.99478,                0.99895,                0.99486,                0.66855,                 1.2837,                0.46589,                 1.0812,                0.00802,                0.00802,                0.00802
                      7,                 1.2642,                0.65746,                 1.0904,                0.99552,                0.99857,                0.99486,                0.70492,                 1.1514,                0.42707,                 1.0245,               0.007525,               0.007525,               0.007525
                      8,                 1.2573,                0.63524,                 1.0842,                0.99692,                0.99934,                0.99497,                0.71539,                 1.1232,                0.40617,                 1.0145,                0.00703,                0.00703,                0.00703
                      9,                 1.2426,                0.61958,                 1.0772,                0.99768,                0.99958,                0.99496,                0.70303,                 1.1713,                0.40699,                 1.0346,               0.006535,               0.006535,               0.006535
                     10,                 1.2295,                0.59995,                 1.0707,                0.99749,                0.99969,                0.99499,                0.73015,                  1.073,                0.38047,                0.99564,                0.00604,                0.00604,                0.00604
                     11,                 1.1996,                0.49461,                 1.1245,                0.99711,                0.99962,                0.99496,                0.74566,                 1.0135,                0.37856,                0.97647,               0.005545,               0.005545,               0.005545
                     12,                 1.1854,                 0.4746,                 1.1189,                0.99843,                0.99981,                  0.995,                0.75564,                 1.0079,                0.36629,                0.97227,                0.00505,                0.00505,                0.00505
                     13,                 1.1772,                0.46577,                 1.1143,                0.99826,                0.99977,                  0.995,                0.74307,                 1.0432,                 0.3614,                0.98367,               0.004555,               0.004555,               0.004555
                     14,                 1.1674,                0.45453,                 1.1082,                0.99863,                0.99989,                  0.995,                0.77186,                0.95098,                  0.351,                0.95596,                0.00406,                0.00406,                0.00406
                     15,                 1.1624,                0.44466,                 1.1065,                0.99836,                0.99978,                  0.995,                  0.786,                0.90566,                0.33711,                0.93787,               0.003565,               0.003565,               0.003565
                     16,                 1.1564,                0.43398,                 1.1048,                0.99844,                0.99999,                0.99499,                0.79932,                0.86149,                 0.3292,                0.92485,                0.00307,                0.00307,                0.00307
                     17,                 1.1492,                0.42584,                 1.0974,                0.99885,                0.99993,                  0.995,                0.79689,                0.87264,                0.32648,                0.92638,               0.002575,               0.002575,               0.002575
                     18,                 1.1437,                0.41641,                 1.0953,                0.99868,                0.99972,                0.99499,                0.80893,                 0.8335,                0.31595,                0.91516,                0.00208,                0.00208,                0.00208
                     19,                 1.1376,                 0.4121,                  1.089,                0.99862,                 0.9998,                0.99499,                0.81655,                0.80764,                0.31033,                0.90747,               0.001585,               0.001585,               0.001585
                     20,                  1.131,                0.40312,                 1.0874,                0.99888,                0.99979,                0.99497,                0.81156,                0.82987,                0.31116,                0.91275,                0.00109,                0.00109,                0.00109
